,ent,ent_label
3013,the United States,GPE
3014,The United States,GPE
3015,3 million,CARDINAL
3016,nearly a quarter,DATE
3017,"60,000",CARDINAL
3018,China,GPE
3019,WTO,ORG
3020,$ 13 trillion,MONEY
3021,the last two decades,DATE
3022,those days,DATE
3023,America,GPE
3024,The United States,GPE
3025,$ 200 billion,MONEY
3026,$ 250 billion,MONEY
3027,Xi,PERSON
3028,China,GPE
3029,America,GPE
3030,last year,DATE
3031,the U.N. Human Rights Council,ORG
3032,America,GPE
3033,the United Nations,ORG
3034,Nikki Haley,ORG
3035,the United States,GPE
3036,the Human Rights Council,ORG
3037,the United States,GPE
3038,the International Criminal Court,ORG
3039,America,GPE
3040,ICC,ORG
3041,America,GPE
3042,America,GPE
3043,Americans,NORP
3044,America,GPE
3045,Earth,LOC
3046,The United States,GPE
3047,OPEC,ORG
3048,OPEC,ORG
3049,European,NORP
3050,Poland,GPE
3051,Baltic,NORP
3052,Russia,GPE
3053,Germany,GPE
3054,Russian,NORP
3055,the Western Hemisphere,LOC
3056,Monroe,PERSON
3057,The United States,GPE
3058,The United States,GPE
3059,Latin America,LOC
3060,one,CARDINAL
3061,the United States,GPE
3062,Global Compact,PRODUCT
3063,Migration,GPE
3064,Venezuela,GPE
3065,More than 2 million,CARDINAL
3066,Maduro,PERSON
3067,Cuban,NORP
3068,Venezuela,GPE
3069,Earth,LOC
3070,Today,DATE
3071,Venezuela,GPE
3072,Today,DATE
3073,Maduro,PERSON
3074,the United Nations,ORG
3075,The United States,GPE
3076,1881,DATE
3077,State,ORG
3078,Mike Pompeo,PERSON
3079,The United States,GPE
3080,the United Nations,ORG
3081,the United Nations,ORG
3082,the United States,GPE
3083,more than 25 percent,PERCENT
3084,U.N.,ORG
3085,American,NORP
3086,U.N.,ORG
3087,today,DATE
3088,India,GPE
3089,millions,CARDINAL
3090,Saudi Arabia,GPE
3091,King Salman,PERSON
3092,Israel,GPE
3093,70th,ORDINAL
3094,the Holy Land,GPE
3095,Poland,GPE
3096,Americans,NORP
3097,America,GPE
3098,America,GPE
3099,today,DATE
3100,Sovereign,ORG
3101,God,PERSON
3102,five,CARDINAL
3103,American,NORP
3104,Americans,NORP
3105,first,ORDINAL
3106,tenth,ORDINAL
3107,one,CARDINAL
3108,one,CARDINAL
3109,American,NORP
3110,the decades,DATE
3111,decades,DATE
3112,Thousands,CARDINAL
3113,One,CARDINAL
3114,three,CARDINAL
3115,the United States,GPE
3116,Nearly 50,CARDINAL
3117,"78,000",CARDINAL
3118,Americans,NORP
3119,$ 700 billion,MONEY
3120,300,CARDINAL
3121,Americans,NORP
3122,90 percent,PERCENT
3123,the United States,GPE
3124,California,GPE
3125,only a day after Christmas,DATE
3126,every single day,DATE
3127,one,CARDINAL
3128,Washington,GPE
3129,today,DATE
3130,Congress,ORG
3131,today,DATE
3132,first,ORDINAL
3133,recent weeks,DATE
3134,Democrat,NORP
3135,Democrats,NORP
3136,$ 800 million,MONEY
3137,$ 805 million,MONEY
3138,"an additional 2,750",CARDINAL
3139,75,CARDINAL
3140,"almost 900,000",CARDINAL
3141,Congress,ORG
3142,Central American,NORP
3143,thousands,CARDINAL
3144,$ 5.7 billion,MONEY
3145,"2,000-mile",QUANTITY
3146,115 miles,QUANTITY
3147,another 230 miles,QUANTITY
3148,this year,DATE
3149,half,CARDINAL
3150,Democrats,NORP
3151,Democrats,NORP
3152,two,CARDINAL
3153,one,CARDINAL
3154,three years,DATE
3155,"700,000",CARDINAL
3156,age many years ago,DATE
3157,Social Security,ORG
3158,Secondly,ORDINAL
3159,three year,DATE
3160,Temporary Protected Status,ORG
3161,"300,000",CARDINAL
3162,three more years,DATE
3163,Congress,ORG
3164,Republicans,NORP
3165,Democrats,NORP
3166,DACA,ORG
3167,TPS,ORG
3168,Senate,ORG
3169,Mitch McConnell,PERSON
3170,this week,DATE
3171,the United States,GPE
3172,Senate,ORG
3173,the 21st century,DATE
3174,weekly,DATE
3175,the White House,FAC
3176,first,ORDINAL
3177,American,NORP
3178,America,GPE
3179,Congress,ORG
3180,First,ORDINAL
3181,the United States,GPE
3182,Americans,NORP
3183,tonight,TIME
3184,Congress,ORG
3185,Americans,NORP
3186,Millions,CARDINAL
3187,two,CARDINAL
3188,this evening,TIME
3189,Republican,NORP
3190,Democrat,NORP
3191,American,NORP
3192,American,NORP
3193,American,NORP
3194,America,GPE
3195,first,ORDINAL
3196,American,NORP
3197,This year,DATE
3198,America,GPE
3199,two,CARDINAL
3200,America,GPE
3201,American,NORP
3202,June,DATE
3203,75 years,DATE
3204,Dwight D. Eisenhower,PERSON
3205,the Great Crusade,ORG
3206,Allied,ORG
3207,Europe,LOC
3208,World War II,EVENT
3209,D-Day,DATE
3210,"June 6, 1944",DATE
3211,"15,000",CARDINAL
3212,American,NORP
3213,"60,000",CARDINAL
3214,tonight,TIME
3215,three,CARDINAL
3216,Joseph Reilly,PERSON
3217,Sergeant Irving Locker,PERSON
3218,Sergeant Herman Zeitchik,PERSON
3219,2019,DATE
3220,50 years,DATE
3221,American,NORP
3222,Half a century later,DATE
3223,one,CARDINAL
3224,Apollo 11,ORG
3225,Buzz Aldrin,PERSON
3226,This year,DATE
3227,American,NORP
3228,American,NORP
3229,the 20th century,DATE
3230,America,GPE
3231,American,NORP
3232,the 21st century,DATE
3233,decades,DATE
3234,America,GPE
3235,Tonight,TIME
3236,the last 2 years,DATE
3237,many decades,DATE
3238,2 years,DATE
3239,5.3 million,CARDINAL
3240,"600,000",CARDINAL
3241,decades,DATE
3242,Nearly 5 million,CARDINAL
3243,Americans,NORP
3244,The United States,GPE
3245,today,DATE
3246,half a century,DATE
3247,African American,NORP
3248,Hispanic American,NORP
3249,Asian American,NORP
3250,Americans,NORP
3251,157 million,CARDINAL
3252,Obamacare,NORP
3253,American,NORP
3254,the United States,GPE
3255,one,CARDINAL
3256,first,ORDINAL
3257,65 years,DATE
3258,24 months,DATE
3259,America,GPE
3260,Congress,ORG
3261,Friday,DATE
3262,"304,000",CARDINAL
3263,last month,DATE
3264,the United States,GPE
3265,more than 300,CARDINAL
3266,Senate,ORG
3267,some after years,DATE
3268,Senate,ORG
3269,Congress,ORG
3270,Farm Bill,LAW
3271,VA,ORG
3272,four decades,DATE
3273,just weeks ago,DATE
3274,Last year,DATE
3275,Alice Johnson,PERSON
3276,1997,DATE
3277,Alice,ORG
3278,first,ORDINAL
3279,the next two decades,DATE
3280,Alice,PERSON
3281,almost 22 years,DATE
3282,June,DATE
3283,Alice,ORG
3284,tonight,TIME
3285,Alice,ORG
3286,Alice,PERSON
3287,Alice,ORG
3288,First,ORDINAL
3289,African American,NORP
3290,First,ORDINAL
3291,States,GPE
3292,America,GPE
3293,tonight,TIME
3294,Matthew Charles,PERSON
3295,Tennessee,GPE
3296,1996,DATE
3297,age 30,DATE
3298,Matthew,PERSON
3299,35 years,DATE
3300,the next two decades,DATE
3301,more than 30,CARDINAL
3302,Bible,WORK_OF_ART
3303,Matthew,PERSON
3304,first,ORDINAL
3305,First,ORDINAL
3306,Americans,NORP
3307,Republicans,NORP
3308,Democrats,NORP
3309,Congress,ORG
3310,10 days,DATE
3311,Congress,ORG
3312,America,GPE
3313,the United States,GPE
3314,Mexican,NORP
3315,"3,750",CARDINAL
3316,Americans,NORP
3317,millions,CARDINAL
3318,today,DATE
3319,Tonight,TIME
3320,America,GPE
3321,America,GPE
3322,Americans,NORP
3323,One,CARDINAL
3324,three,CARDINAL
3325,thousands,CARDINAL
3326,the United States,GPE
3327,Tens of thousands,CARDINAL
