,ent,ent_label
670,Adolfo Lopez Mateos,PERSON
671,Mateos,PERSON
672,Kuchel,PERSON
673,Congress,ORG
674,Lopez Mateos,PERSON
675,Mexico,GPE
676,Mexican,NORP
677,the University of California,ORG
678,American,NORP
679,Mexico,GPE
680,Lopez Mateos,PERSON
681,the United States,GPE
682,Brown,PERSON
683,Mexico,GPE
684,Mexico,GPE
685,the United States,GPE
686,today,DATE
687,Mexico,GPE
688,the United States,GPE
689,American,NORP
690,American,NORP
691,American,NORP
692,American,NORP
693,Americans,NORP
694,today,DATE
695,daily,DATE
696,the White House,FAC
697,America,GPE
698,South Viet-Nam,GPE
699,10 years,DATE
700,South Viet-Nam,NORP
701,first,ORDINAL
702,American,NORP
703,two,CARDINAL
704,today,DATE
705,America,GPE
706,Europe,LOC
707,Truman,PERSON
708,Greece,GPE
709,Turkey,GPE
710,two,CARDINAL
711,NATO,ORG
712,the United States,GPE
713,Panama,GPE
714,Panama,GPE
715,the United States of America,GPE
716,Panama,GPE
717,Guantanamo,FAC
718,Havana,GPE
719,Marines,NORP
720,Marines,NORP
721,today,DATE
722,today,DATE
723,next week,DATE
724,Communists,NORP
725,North America,LOC
726,English,LANGUAGE
727,Spanish,LANGUAGE
728,the Alliance for Progress,ORG
729,Europe,LOC
730,America,GPE
731,today,DATE
732,Jefferson,PERSON
733,America,GPE
734,America,GPE
735,William P. Bundy,PERSON
736,State,ORG
737,Eastern Affairs,ORG
738,Bundy,PERSON
739,Defense for International Security Affairs,ORG
740,Eastern,ORG
741,Bundy,PERSON
742,the Defense Department,ORG
743,John McNaughton,PERSON
744,the Department of Defense,ORG
745,Daniel M. Luevano,PERSON
746,California,GPE
747,Army,ORG
748,Luevano,PERSON
749,the State Department,ORG
750,California,GPE
751,Brown,PERSON
752,State,ORG
753,Clark Kerr,PERSON
754,the University of California,ORG
755,Frankie Muse,PERSON
756,the St. Louis Housing and Land Clearance Authority,ORG
757,the Civil Rights Commission,ORG
758,Missouri,GPE
759,Missouri,GPE
760,The United States,GPE
761,A-11,PRODUCT
