,ent,ent_label
829,7 million,CARDINAL
830,the Geneva,LAW
831,1954,DATE
832,North Vietnam,GPE
833,American,NORP
834,Cambodian,NORP
835,fewer than 15,CARDINAL
836,Cambodia,GPE
837,last August,DATE
838,the previous 4 years,DATE
839,1965 to 1969,DATE
840,Cambodia,GPE
841,the past 5 years,DATE
842,Cambodia,GPE
843,North Vietnam,GPE
844,the past 5 years,DATE
845,North Vietnam,GPE
846,Cambodian,NORP
847,South Vietnam,GPE
848,up to 20 miles,QUANTITY
849,Cambodia,GPE
850,American,NORP
851,South Vietnamese,NORP
852,South Vietnam,GPE
853,Communist,NORP
854,5 years,DATE
855,the United States,GPE
856,South Vietnam,GPE
857,the Vietnamese Communists,ORG
858,four weeks ago,DATE
859,South Vietnamese,NORP
860,the past two weeks,DATE
861,South Vietnam,GPE
862,North Vietnam,GPE
863,the last two weeks,DATE
864,Cambodia,GPE
865,Thousands,CARDINAL
866,Phnom Penh,GPE
867,Cambodia,GPE
868,Cambodia,GPE
869,the United States,GPE
870,Cambodia,GPE
871,South Vietnam,LOC
872,600 miles,QUANTITY
873,North Vietnamese,NORP
874,South Vietnam,GPE
875,three,CARDINAL
876,First,ORDINAL
877,Americans,NORP
878,Vietnam,GPE
879,"150,000",CARDINAL
880,South Vietnam,GPE
881,North Vietnam,GPE
882,North Vietnam,GPE
883,Laos,GPE
884,North Vietnam,GPE
885,Cambodia,GPE
886,South Vietnam,GPE
887,Americans,NORP
888,South Vietnamese,NORP
889,second,ORDINAL
890,Cambodia,GPE
891,seven million,CARDINAL
892,Cambodians,NORP
893,Cambodian Army,ORG
894,the Cambodian Army,ORG
895,"40,000",CARDINAL
896,Cambodia,GPE
897,one,CARDINAL
898,third,ORDINAL
899,North Vietnamese,NORP
900,Vietcong,GPE
901,Cambodia,GPE
902,American,NORP
903,South Vietnamese,NORP
904,South Vietnam,GPE
905,Saigon,GPE
906,Baltimore,GPE
907,Washington,GPE
908,only 33 miles,QUANTITY
909,Saigon,GPE
910,three,CARDINAL
911,this week,DATE
912,Cambodian,NORP
913,Vietnam,GPE
914,South Vietnamese,NORP
915,South Vietnamese,NORP
916,South Vietnamese,NORP
917,the United States,GPE
918,one,CARDINAL
919,Parrot,PERSON
920,American,NORP
921,South Vietnamese,NORP
922,Tonight,TIME
923,American,NORP
924,South Vietnamese,NORP
925,Communist,NORP
926,South Vietnam,GPE
927,North Vietnamese,NORP
928,Vietcong,GPE
929,five years,DATE
930,Cambodia,GPE
931,Cambodia,GPE
932,North Vietnamese,NORP
933,the United States,GPE
934,American,NORP
935,Vietnam,GPE
936,tonight,TIME
937,American,NORP
938,tonight,TIME
939,American,NORP
940,Vietnam,GPE
941,tonight,TIME
942,Cambodia,GPE
943,Vietnam,GPE
944,North Vietnam,GPE
945,over 20 percent,PERCENT
946,"over 250,000",CARDINAL
947,only one,CARDINAL
948,South Vietnam,LOC
949,North Vietnam,GPE
950,the United States,GPE
951,South Vietnam,GPE
952,Hanoi,GPE
953,Laos,GPE
954,Cambodia,GPE
955,South Vietnam,GPE
956,American,NORP
957,American,NORP
958,the United States,GPE
959,the United States,GPE
960,Tonight,TIME
961,North Vietnamese,NORP
962,the United States,GPE
963,Armed Forces,ORG
964,American,NORP
965,tonight,TIME
966,North Vietnam,LOC
967,American,NORP
968,thousands,CARDINAL
969,tonight,TIME
970,Hanoi,GPE
971,Americans,NORP
972,the last 500 years,DATE
973,the United States,GPE
974,the United States of America,GPE
975,tonight,TIME
976,Americans,NORP
977,tonight,TIME
978,the United States,GPE
979,Americans,NORP
980,Vietnam,GPE
981,Woodrow Wilson,PERSON
982,World War I. Franklin,EVENT
983,World War II,EVENT
984,Dwight D. Eisenhower,PERSON
985,Korea,GPE
986,the Middle East,LOC
987,John F. Kennedy,PERSON
988,Soviet,NORP
989,Cuba,GPE
990,the Western Hemisphere,LOC
991,American,NORP
992,Republican,NORP
993,November,DATE
994,today,DATE
995,one,CARDINAL
996,the United States,GPE
997,18 million,CARDINAL
998,South Vietnamese,NORP
999,North Vietnam,GPE
1000,hundreds of thousands,CARDINAL
1001,North Vietnamese,NORP
1002,Communists,NORP
1003,North Vietnam,GPE
1004,1954,DATE
1005,the United States,GPE
1006,November,DATE
