,ent,ent_label
279,the United States,GPE
280,Mississippi,GPE
281,the United States,GPE
282,Spain,GPE
283,Spanish,NORP
284,the Southern Indians,NORP
285,Indian,NORP
286,Indian,NORP
287,Indian,NORP
288,5th,ORDINAL
289,the United States,GPE
290,Britannic Majesty,PERSON
291,Croix,PERSON
292,the 25th of October,DATE
293,Scoodiac,ORG
294,Passamaquoddy Bay,LOC
295,Croix,PERSON
296,one,CARDINAL
297,Croix,PERSON
298,Scoodiac,ORG
299,Governments,ORG
300,Croix,PERSON
301,the Bay of Fundy,LOC
302,the Bay of Fundy,LOC
303,American,NORP
304,7th,ORDINAL
305,the United States,GPE
306,Great Britain,GPE
307,August,DATE
308,year,DATE
309,25th,ORDINAL
310,the United States,GPE
311,Spain,GPE
312,France,GPE
313,Spain,GPE
314,the House of Representatives,ORG
315,Legislature,ORG
316,Senate,ORG
317,the House of Representatives,ORG
318,6th,ORDINAL
319,Congress of the United States of America,ORG
320,American,NORP
321,Pennsylvania,GPE
322,the United States,GPE
323,the French Republic,GPE
324,two,CARDINAL
325,French,NORP
326,Paris,GPE
327,Senate,ORG
328,St. Domingo,GPE
329,Congress,ORG
330,British,NORP
331,Philadelphia,GPE
332,sixth,ORDINAL
333,Great Britain,GPE
334,the United States,GPE
335,Philadelphia,GPE
336,Britannic Majesty,PERSON
337,seventh,ORDINAL
338,British,NORP
339,American,NORP
340,London,GPE
341,His Majesty,PERSON
342,the United States,GPE
343,Philadelphia,GPE
344,the United States,GPE
345,London,GPE
346,the United States,GPE
347,two,CARDINAL
348,Congress,ORG
349,the United States,GPE
350,the first Monday of December,DATE
351,Philadelphia,GPE
352,District,LOC
353,Congress,ORG
354,Washington,GPE
355,the House of Representatives,ORG
356,the United States,GPE
357,Senate,ORG
358,the House of Representatives,ORG
359,every hour,TIME
360,the United States,GPE
361,France,GPE
362,the United States,GPE
363,Senate,ORG
364,the House of Representatives,ORG
365,Divine Providence,PERSON
366,George Washington,PERSON
367,"December 15, 1799",DATE
368,THE UNITED STATES,GPE
369,Washington,PERSON
370,last evening,TIME
371,10 and 11 o'clock,TIME
372,about twenty hours,TIME
373,Friday,DATE
374,Saturday,DATE
375,morning,TIME
376,about 3 o'clock,TIME
377,Craik,PERSON
378,Dick,PERSON
379,Brown,PERSON
380,Port Tobacco,ORG
381,Senate,ORG
382,the United States,GPE
383,George Washington,PERSON
384,Senate,ORG
385,Senate,ORG
386,the United States,GPE
387,George Washington,PERSON
388,Washington,GPE
389,Greatness,PERSON
390,Washington,GPE
391,SAMUEL LIVERMORE,PERSON
392,Senate,ORG
393,UNITED STATES,GPE
394,"December 23, 1799",DATE
395,Senate,ORG
396,the days,DATE
397,1774,DATE
398,first,ORDINAL
399,America,GPE
400,the General Government,ORG
401,Washington,GPE
402,Providence,GPE
403,Trajan,GPE
404,The House of Representatives,ORG
405,the United States,GPE
406,House,ORG
407,The House of Representatives,ORG
408,Washington,GPE
409,"December 19, 1799",DATE
410,the House of Representatives,ORG
411,the House of Representatives,ORG
412,the United States,GPE
413,Northampton,GPE
414,Montgomery,GPE
415,Bucks,PERSON
416,the State of Pennsylvania,GPE
417,the year 1799,DATE
418,the United States,GPE
419,John Adams,PERSON
420,the United States of America,GPE
421,the United States,GPE
422,the 12th day of March,DATE
423,the year 1799,DATE
424,the United States,GPE
425,the United States of America,GPE
426,Philadelphia,GPE
427,this 21st day,DATE
428,twenty-fourth,DATE
429,Senate,ORG
430,the House of Representatives,ORG
431,Congress,ORG
432,Philadelphia,GPE
433,the United States,GPE
434,Congress,ORG
435,first,ORDINAL
436,the Supreme Ruler,ORG
437,Universe,ORG
438,the District of Columbia,GPE
439,Constitution,LAW
440,United States,GPE
441,Congress,ORG
442,Constitution,LAW
443,the United States,GPE
444,the King of Prussia,ORG
445,6th,ORDINAL
446,Great Britain,GPE
447,the United States,GPE
448,the United States,GPE
449,France,GPE
450,the First Consul,ORG
451,3,CARDINAL
452,Europe,LOC
453,Navy,ORG
454,the United States,GPE
455,Congress,ORG
456,the United States,GPE
457,the National Legislature,ORG
