,ent,ent_label
702,the United States,GPE
703,the Executive of the General Government,ORG
704,States,GPE
705,the United States,GPE
706,two,CARDINAL
707,Canadas,ORG
708,the United States,GPE
709,Canadians,NORP
710,Canada,GPE
711,American,NORP
712,the United States,GPE
713,Washington,GPE
714,the 21st day of November,DATE
715,A. D. 1838,NORP
716,the United States,GPE
717,M. VAN BUREN,PERSON
718,FORSYTH,PERSON
719,State,ORG
720,Senate,ORG
721,House of Representatives,ORG
722,the hour,TIME
723,Providence,GPE
724,The present year,DATE
725,the first half century,DATE
726,Constitution,LAW
727,the American Union,ORG
728,first,ORDINAL
729,first,ORDINAL
730,States,GPE
731,one,CARDINAL
732,half a century,DATE
733,State,ORG
734,Congress,ORG
735,the United States,GPE
736,Mexico,GPE
737,two,CARDINAL
738,two,CARDINAL
739,the United States,GPE
740,Great Britain,GPE
741,Congress,ORG
742,Her Majesty's Government,ORG
743,British,NORP
744,the United States,GPE
745,the United States,GPE
746,the United States,GPE
747,Canada,GPE
748,the United States,GPE
749,the United States,GPE
750,Canadians,NORP
751,Canada,GPE
752,Canada,GPE
753,the United States,GPE
754,Canada,GPE
755,the United States,GPE
756,Great Britain,GPE
757,the United States,GPE
758,the American Government,ORG
759,first,ORDINAL
760,the United States,GPE
761,the United States,GPE
762,Constitution,LAW
763,Congress,ORG
764,Canadian,NORP
765,Congress,ORG
766,Russia,GPE
767,fourth,ORDINAL
768,"April, 1824",DATE
769,the United States,GPE
770,Imperial Majesty,PERSON
771,third,ORDINAL
772,the United States,GPE
773,States,GPE
774,America,GPE
775,54,DATE
776,40,CARDINAL
777,Russian,NORP
778,Russia,GPE
779,fourth,ORDINAL
780,ten years,DATE
781,Indians,NORP
782,Russian,NORP
783,the United States,GPE
784,Russian,NORP
785,two,CARDINAL
786,Imperial Majesty,ORG
787,the American Government,ORG
788,the United States,GPE
789,1824,DATE
790,Russian,NORP
791,the Russian Government,ORG
792,1824,DATE
793,fourth,ORDINAL
794,America,GPE
795,the United States,GPE
796,the last few years,DATE
797,Congress,ORG
798,Mexico,GPE
799,Republic,GPE
800,France,GPE
801,May last,DATE
802,French,NORP
803,Gulf,LOC
804,the French Government,ORG
805,the United States,GPE
806,France,GPE
807,Mexico,GPE
808,the United States,GPE
809,the Republic of Texas,GPE
810,the Red River,LOC
811,the 25th of April,DATE
812,the United States,GPE
813,"August, 1837",DATE
814,Texas,GPE
815,State,ORG
816,Texas,GPE
817,the King of Greece,ORG
818,the Peru-Bolivian Confederation,ORG
819,Congress,ORG
820,American,NORP
821,the United States,GPE
822,Austria,GPE
823,the Two Sicilies,ORG
824,Russia,GPE
825,Brazil,GPE
826,Belgium,GPE
827,Sweden,GPE
828,Norway,GPE
829,the Argentine Confederation,ORG
830,the past year,DATE
831,Treasury,ORG
832,Treasury,ORG
833,the 1st of January,DATE
834,"2,765,342",MONEY
835,the year,DATE
836,"20,615,598",MONEY
837,Treasury,ORG
838,"less than $ 8,000,000",MONEY
839,the end of the year,DATE
840,one,CARDINAL
841,the Bank of the United States,ORG
842,"2,254,871",MONEY
843,the 1st of January last,DATE
844,Congress,ORG
845,the year,DATE
846,more than eight millions,CARDINAL
847,Treasury,ORG
848,"about $ 40,000,000",MONEY
849,Treasury,ORG
850,"Nearly $ 8,000,000",MONEY
851,Treasury,ORG
852,the coming year,DATE
853,Treasury,ORG
854,annual,DATE
855,States,GPE
856,Treasury,ORG
857,the last few years,DATE
858,States,GPE
859,Congress,ORG
860,Indian,NORP
861,Florida,GPE
862,the last two,DATE
863,annual,DATE
864,Congress,ORG
865,States,GPE
866,fourth,ORDINAL
867,several millions,CARDINAL
868,one,CARDINAL
869,between four and five millions of dollars,CARDINAL
870,Treasury,ORG
871,the United States,GPE
872,1814,DATE
873,1837,DATE
874,1837,DATE
875,Congress,ORG
876,third,ORDINAL
877,first,ORDINAL
878,American,NORP
879,1836,DATE
880,Treasurer,ORG
881,Treasury,ORG
882,Congress,ORG
883,one,CARDINAL
884,Treasury,ORG
885,weekly,DATE
