,ent,ent_label
10388,the Soviet Union,GPE
10389,the United Nations,ORG
10390,today,DATE
10391,the United Nations,ORG
10392,Afghanistan,GPE
10393,the Persian Gulf,LOC
10394,the United Nations,ORG
10395,Geneva,GPE
10396,this very hour,TIME
10397,the Conference on Disarmament,ORG
10398,Soviets,NORP
10399,U.N.,ORG
10400,recent days,DATE
10401,the last few years,DATE
10402,the United States,GPE
10403,the Soviet Union,GPE
10404,INF,ORG
10405,1881,DATE
10406,Soviet,NORP
10407,first,ORDINAL
10408,Europe,LOC
10409,Geneva,GPE
10410,the Soviet Union,GPE
10411,first,ORDINAL
10412,first,ORDINAL
10413,Geneva,GPE
10414,two,CARDINAL
10415,III,ORG
10416,Gorbachev,PERSON
10417,Switzerland,GPE
10418,Gorbachev,PERSON
10419,Geneva,GPE
10420,Moscow,GPE
10421,Soviet,NORP
10422,Lenin Hills,GPE
10423,Moscow,GPE
10424,the Soviet Union,GPE
10425,that morning,TIME
10426,Geneva,GPE
10427,U.N.,ORG
10428,New York,GPE
10429,Geneva,GPE
10430,Geneva,GPE
10431,the Geneva accords,LAW
10432,Afghanistan,GPE
10433,Iran,GPE
10434,Iraq,GPE
10435,today,DATE
10436,The Palais des Nations,ORG
10437,the League of Nations,ORG
10438,today,DATE
10439,the Second World War,EVENT
10440,1930,DATE
10441,today,DATE
10442,the United Nations,ORG
